Country,Date,Average ELO
FRA,1970-01-01,1509.285793727778
FRA,1970-01-02,1509.285793727778
FRA,1970-01-03,1509.285793727778
FRA,1970-01-04,1509.285793727778
FRA,1970-01-05,1509.285793727778
FRA,1970-01-06,1509.285793727778
FRA,1970-01-07,1509.285793727778
FRA,1970-01-08,1509.285793727778
FRA,1970-01-09,1509.285793727778
FRA,1970-01-10,1509.285793727778
FRA,1970-01-11,1509.285793727778
FRA,1970-01-12,1509.285793727778
FRA,1970-01-13,1509.285793727778
FRA,1970-01-14,1509.285793727778
FRA,1970-01-15,1509.285793727778
FRA,1970-01-16,1509.285793727778
FRA,1970-01-17,1509.285793727778
FRA,1970-01-18,1509.285793727778
FRA,1970-01-19,1509.285793727778
FRA,1970-01-20,1509.285793727778
FRA,1970-01-21,1509.285793727778
FRA,1970-01-22,1509.285793727778
FRA,1970-01-23,1509.285793727778
FRA,1970-01-24,1509.285793727778
FRA,1970-01-25,1509.285793727778
FRA,1970-01-26,1509.2858005105552
FRA,1970-01-27,1509.2858005105552
FRA,1970-01-28,1509.2858005105552
FRA,1970-01-29,1509.2858005105552
FRA,1970-01-30,1509.2858005105552
FRA,1970-01-31,1509.2858005105552
FRA,1970-02-01,1509.2858005105552
FRA,1970-02-02,1509.2857937283331
FRA,1970-02-03,1509.2857937283331
FRA,1970-02-04,1509.2857937283331
FRA,1970-02-05,1509.2857937283331
FRA,1970-02-06,1509.2857937283331
FRA,1970-02-07,1509.2857937283331
FRA,1970-02-08,1509.2857937283331
FRA,1970-02-09,1509.2857937283331
FRA,1970-02-10,1509.2857937283331
FRA,1970-02-11,1509.2857937283331
FRA,1970-02-12,1509.2857937283331
FRA,1970-02-13,1509.2857937283331
FRA,1970-02-14,1509.2857937283331
FRA,1970-02-15,1509.2857937283331
FRA,1970-02-16,1509.2857869466666
FRA,1970-02-17,1509.2857869466666
FRA,1970-02-18,1509.2857869466666
FRA,1970-02-19,1509.2857869466666
FRA,1970-02-20,1509.2857869466666
FRA,1970-02-21,1509.2857869466666
FRA,1970-02-22,1509.2857869466666
FRA,1970-02-23,1509.2858005094445
FRA,1970-02-24,1509.2858005094445
FRA,1970-02-25,1509.2858005094445
FRA,1970-02-26,1509.2858005094445
FRA,1970-02-27,1509.2858005094445
FRA,1970-02-28,1509.2858005094445
FRA,1970-03-01,1509.2858005094445
FRA,1970-03-02,1509.2858005094445
FRA,1970-03-03,1509.2858005094445
FRA,1970-03-04,1509.2858005094445
FRA,1970-03-05,1509.2858005094445
FRA,1970-03-06,1509.2858005094445
FRA,1970-03-07,1509.2857733827777
FRA,1970-03-08,1509.2857733827777
FRA,1970-03-09,1509.2857733827777
FRA,1970-03-10,1509.2857733827777
